id,member_id,loan_amnt,funded_amnt,funded_amnt_inv,term,int_rate,installment,grade,sub_grade,emp_title,emp_length,home_ownership,annual_inc,verification_status,issue_d,loan_status,pymnt_plan,url,desc,purpose,title,zip_code,addr_state,dti,delinq_2yrs,earliest_cr_line,fico_range_low,fico_range_high,inq_last_6mths,mths_since_last_delinq,mths_since_last_record,open_acc,pub_rec,revol_bal,revol_util,total_acc,initial_list_status,out_prncp,out_prncp_inv,total_pymnt,total_pymnt_inv,total_rec_prncp,total_rec_int,total_rec_late_fee,recoveries,collection_recovery_fee,last_pymnt_d,last_pymnt_amnt,next_pymnt_d,last_credit_pull_d,last_fico_range_high,last_fico_range_low,collections_12_mths_ex_med,mths_since_last_major_derog,policy_code,application_type,annual_inc_joint,dti_joint,verification_status_joint,acc_now_delinq,tot_coll_amt,tot_cur_bal,open_acc_6m,open_act_il,open_il_12m,open_il_24m,mths_since_rcnt_il,total_bal_il,il_util,open_rv_12m,open_rv_24m,max_bal_bc,all_util,total_rev_hi_lim,inq_fi,total_cu_tl,inq_last_12m,acc_open_past_24mths,avg_cur_bal,bc_open_to_buy,bc_util,chargeoff_within_12_mths,delinq_amnt,mo_sin_old_il_acct,mo_sin_old_rev_tl_op,mo_sin_rcnt_rev_tl_op,mo_sin_rcnt_tl,mort_acc,mths_since_recent_bc,mths_since_recent_bc_dlq,mths_since_recent_inq,mths_since_recent_revol_delinq,num_accts_ever_120_pd,num_actv_bc_tl,num_actv_rev_tl,num_bc_sats,num_bc_tl,num_il_tl,num_op_rev_tl,num_rev_accts,num_rev_tl_bal_gt_0,num_sats,num_tl_120dpd_2m,num_tl_30dpd,num_tl_90g_dpd_24m,num_tl_op_past_12m,pct_tl_nvr_dlq,percent_bc_gt_75,pub_rec_bankruptcies,tax_liens,tot_hi_cred_lim,total_bal_ex_mort,total_bc_limit,total_il_high_credit_limit,revol_bal_joint,sec_app_fico_range_low,sec_app_fico_range_high,sec_app_earliest_cr_line,sec_app_inq_last_6mths,sec_app_mort_acc,sec_app_open_acc,sec_app_revol_util,sec_app_open_act_il,sec_app_num_rev_accts,sec_app_chargeoff_within_12_mths,sec_app_collections_12_mths_ex_med,sec_app_mths_since_last_major_derog,hardship_flag,hardship_type,hardship_reason,hardship_status,deferral_term,hardship_amount,hardship_start_date,hardship_end_date,payment_plan_start_date,hardship_length,hardship_dpd,hardship_loan_status,orig_projected_additional_accrued_interest,hardship_payoff_balance_amount,hardship_last_payment_amount,disbursement_method,debt_settlement_flag,debt_settlement_flag_date,settlement_status,settlement_date,settlement_amount,settlement_percentage,settlement_term
132555889,,11000.0,11000.0,11000.0, 36 months,10.9,359.61,B,B4,Heavy Equipment Operator,8 years,RENT,36000.0,Source Verified,May-2018,Current,n,https://lendingclub.com/browse/loanDetail.action?loan_id=132555889,,credit_card,Credit card refinancing,169xx,PA,16.1,0.0,Apr-2008,675.0,679.0,2.0,,,22.0,0.0,15093.0,40.1,24.0,w,8294.29,8294.29,3613.58,3613.58,2705.71,907.87,0.0,0.0,0.0,Mar-2019,359.61,Apr-2019,Mar-2019,669.0,665.0,0.0,,1.0,Individual,,,,0.0,0.0,15093.0,3.0,0.0,0.0,0.0,,0.0,,3.0,8.0,2331.0,40.0,37600.0,0.0,0.0,2.0,8.0,686.0,13699.0,47.9,0.0,0.0,,120.0,2.0,2.0,0.0,4.0,,1.0,,0.0,12.0,14.0,13.0,14.0,0.0,22.0,24.0,14.0,22.0,0.0,0.0,0.0,3.0,100.0,38.5,0.0,0.0,37600.0,15093.0,26300.0,0.0,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,DirectPay,N,,,,,,
69743499,,12000.0,12000.0,12000.0, 36 months,6.99,370.48,A,A3,RN,9 years,MORTGAGE,86000.0,Not Verified,Jan-2016,Fully Paid,n,https://lendingclub.com/browse/loanDetail.action?loan_id=69743499,,debt_consolidation,Debt consolidation,773xx,TX,19.84,0.0,Apr-2000,685.0,689.0,1.0,35.0,,19.0,0.0,10032.0,30.0,38.0,w,0.0,0.0,13334.562694849,13334.56,12000.0,1334.56,0.0,0.0,0.0,Jan-2019,370.09,,Mar-2019,674.0,670.0,0.0,,1.0,Individual,,,,0.0,0.0,234402.0,1.0,4.0,1.0,1.0,5.0,22333.0,61.0,0.0,2.0,1772.0,30.0,33005.0,0.0,0.0,2.0,3.0,12336.0,2202.0,41.0,0.0,0.0,153.0,189.0,19.0,5.0,1.0,32.0,36.0,2.0,35.0,0.0,3.0,14.0,9.0,10.0,11.0,14.0,26.0,12.0,19.0,,0.0,0.0,1.0,95.0,66.7,0.0,0.0,288684.0,32365.0,6605.0,36393.0,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
63590274,,5000.0,5000.0,5000.0, 36 months,12.05,166.2,C,C1,Product Picker,1 year,RENT,25000.0,Source Verified,Nov-2015,Fully Paid,n,https://lendingclub.com/browse/loanDetail.action?loan_id=63590274,,debt_consolidation,Debt consolidation,490xx,MI,16.95,0.0,Jul-2010,660.0,664.0,0.0,29.0,,6.0,0.0,1312.0,30.5,10.0,w,0.0,0.0,5777.9501409702,5777.95,5000.0,777.95,0.0,0.0,0.0,Jul-2017,2625.17,,Mar-2019,654.0,650.0,0.0,,1.0,Individual,,,,0.0,6864.0,20751.0,,,,,,,,,,,,4300.0,,,,7.0,3459.0,,,0.0,0.0,38.0,64.0,16.0,8.0,0.0,,,13.0,29.0,0.0,0.0,1.0,0.0,0.0,5.0,2.0,5.0,1.0,6.0,0.0,0.0,0.0,3.0,90.0,,0.0,0.0,25139.0,20751.0,0.0,20839.0,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
42364040,,20000.0,20000.0,19975.0, 36 months,15.61,699.3,D,D1,Graphic Artist,8 years,RENT,40000.0,Verified,Apr-2015,Fully Paid,n,https://lendingclub.com/browse/loanDetail.action?loan_id=42364040,,credit_card,Credit card refinancing,900xx,CA,34.56,0.0,Feb-1987,705.0,709.0,0.0,,,10.0,0.0,40605.0,60.9,17.0,f,0.0,0.0,25154.8772448396,25123.43,20000.0,5154.88,0.0,0.0,0.0,Mar-2018,1396.02,,Mar-2018,794.0,790.0,0.0,,1.0,Individual,,,,0.0,0.0,40789.0,,,,,,,,,,,,66700.0,,,,1.0,4079.0,26095.0,60.9,0.0,0.0,72.0,336.0,24.0,24.0,0.0,24.0,,,,0.0,8.0,8.0,8.0,12.0,1.0,8.0,14.0,8.0,10.0,0.0,0.0,0.0,0.0,100.0,50.0,0.0,0.0,67764.0,40789.0,66700.0,0.0,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
144254317,,5000.0,5000.0,5000.0, 36 months,18.94,183.13,D,D2,Guidance director,10+ years,RENT,68000.0,Source Verified,Nov-2018,Current,n,https://lendingclub.com/browse/loanDetail.action?loan_id=144254317,,debt_consolidation,Debt consolidation,330xx,FL,35.58,16.0,Apr-2001,660.0,664.0,0.0,10.0,,15.0,0.0,9301.0,80.9,42.0,w,4682.4,4682.4,544.13,544.13,317.6,226.53,0.0,0.0,0.0,Mar-2019,183.13,Apr-2019,Mar-2019,664.0,660.0,0.0,10.0,1.0,Individual,,,,0.0,0.0,224839.0,0.0,9.0,0.0,0.0,30.0,215538.0,86.0,0.0,2.0,3469.0,85.0,11500.0,1.0,1.0,0.0,2.0,14989.0,1998.0,75.9,0.0,0.0,164.0,211.0,19.0,19.0,0.0,79.0,10.0,18.0,10.0,2.0,3.0,6.0,3.0,18.0,18.0,6.0,24.0,6.0,15.0,0.0,0.0,2.0,0.0,59.5,66.7,0.0,0.0,218138.0,224839.0,8300.0,206638.0,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
113158590,,5500.0,5500.0,5500.0, 36 months,7.97,172.28,A,A5,Instructional Assistant ,10+ years,MORTGAGE,32000.0,Not Verified,Jul-2017,Current,n,https://lendingclub.com/browse/loanDetail.action?loan_id=113158590,,credit_card,Credit card refinancing,970xx,OR,19.65,0.0,Mar-2003,710.0,714.0,1.0,,79.0,7.0,1.0,4576.0,24.1,18.0,w,2606.75,2606.75,3449.25,3449.25,2893.25,556.0,0.0,0.0,0.0,Mar-2019,172.28,Apr-2019,Mar-2019,744.0,740.0,0.0,,1.0,Individual,,,,0.0,0.0,24321.0,1.0,1.0,0.0,1.0,19.0,19745.0,76.0,1.0,1.0,4561.0,54.0,19000.0,0.0,1.0,1.0,2.0,3474.0,9739.0,31.9,0.0,0.0,161.0,172.0,4.0,4.0,0.0,32.0,,4.0,,0.0,1.0,2.0,3.0,7.0,5.0,6.0,13.0,2.0,7.0,0.0,0.0,0.0,1.0,100.0,0.0,1.0,0.0,45146.0,24321.0,14300.0,26146.0,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
95107794,,20000.0,20000.0,20000.0, 36 months,8.24,628.95,B,B1,Attorney,3 years,OWN,265000.0,Source Verified,Dec-2016,Fully Paid,n,https://lendingclub.com/browse/loanDetail.action?loan_id=95107794,,credit_card,Credit card refinancing,322xx,FL,10.36,4.0,Jan-2000,675.0,679.0,0.0,10.0,,21.0,0.0,26433.0,57.1,35.0,w,0.0,0.0,21807.3482416186,21807.35,20000.0,1807.35,0.0,0.0,0.0,Apr-2018,12382.26,,May-2018,659.0,655.0,0.0,,1.0,Individual,,,,0.0,0.0,454298.0,2.0,4.0,1.0,1.0,4.0,64906.0,42.0,1.0,2.0,8412.0,50.0,46300.0,0.0,4.0,0.0,4.0,21633.0,2300.0,88.7,0.0,0.0,155.0,203.0,5.0,4.0,2.0,29.0,,18.0,10.0,0.0,6.0,12.0,7.0,10.0,10.0,16.0,23.0,12.0,21.0,0.0,0.0,0.0,2.0,82.4,85.7,0.0,0.0,504687.0,91339.0,20300.0,87387.0,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
91287287,,1500.0,1500.0,1500.0, 36 months,13.49,50.9,C,C2,Assistant General Manager,8 years,RENT,50000.0,Not Verified,Oct-2016,Current,n,https://lendingclub.com/browse/loanDetail.action?loan_id=91287287,,debt_consolidation,Debt consolidation,853xx,AZ,21.89,0.0,Jan-2008,685.0,689.0,0.0,,,8.0,0.0,6871.0,67.4,10.0,w,340.63,340.63,1473.29,1473.29,1159.37,313.92,0.0,0.0,0.0,Mar-2019,50.9,Apr-2019,Mar-2019,724.0,720.0,0.0,,1.0,Individual,,,,0.0,0.0,198115.0,2.0,2.0,1.0,2.0,3.0,27098.0,79.0,1.0,1.0,4127.0,73.0,10200.0,0.0,3.0,0.0,3.0,24764.0,829.0,89.2,0.0,0.0,105.0,49.0,3.0,3.0,1.0,27.0,,23.0,,0.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,3.0,8.0,0.0,0.0,0.0,2.0,100.0,66.7,0.0,0.0,221823.0,37629.0,7700.0,34184.0,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
531394,,19750.0,19750.0,19325.065027755543, 36 months,11.12,647.72,B,B3,Consolidated Edison Co. of NY,4 years,MORTGAGE,74700.0,Verified,Jun-2010,Fully Paid,n,https://lendingclub.com/browse/loanDetail.action?loan_id=531394,"  Borrower added on 06/17/10 > This loan is for the purpose of debt consolidation of two high interest rate credit cards.<br/>I am employed (4 years and 2 years before that as a contractor before I was hired) at one of Con Edisonâs power plants.  My position is âSpecialistâ I am responsible for database management and training of our largest asset management system (Maximo).  I enter work orders and track preventative maintenance items to keep our 6000 plus assets running smoothly. I also double as the Plant Managersâ personal assistant, due to my past experience as a VP assistant at Morgan Stanley.<br/>My monthly costs are split between my husband and myself. My share of the budget is equal to about $2200.00 monthly including mortgage and all other utilities and childcare etc. <br/>My credit cards are my solely my responsibility and I would like to consolidate them and pay them off at a lower interest rate. The first two will be paid off by this loan. The listed amounts are what I pay per month, not the minimum allowed. My salary is more than adequate to support the monthly payment of$ 647.97<br/>American express blue $8300.00 @15.21 %	 monthly payment $500.00<br/>Chase $16,000 (12k of it was from the purchase of a car) @17.24 %   	 monthly payment $350.00<br/>Discover card $5.000 @5.9% 	monthly payment $116.00<br/>I have never had a delinquent account and have an unblemished credit record with Fico scores ranging from 720 to 787. Iâm never late, and have paid off debt on or before schedule. I plan to pay off this loan in 2 years 3 months.<br/>We are a two wage earner household and our combined income is 125K a year. We have retirement plans that we do not wish to touch for these debts. Credit card debt is not an emergency. It would just be a great convenience to have my interest rates reduced. I have contacted the credit card companies and they said they can only reduce it by Â½ %. That is why I applied for this loan.<br/>The loan will be automatically deducted from my checking account. I have direct deposit and $2800.00 overdraft protection. There will never be an issue with late payments, I am paid on the 15th and 30th.<br/>I will also be sending a second payment of $200.00 to be applied to the principal every month. Which I will also have deducted automatically. The purpose of this loan was to save on interest and with this accelerated payback schedule I will save myself several thousand dollars.  <br/>I hope that I have answered many of your questions. Thank you for your consideration.<br/>",debt_consolidation,Get out of Debt Now,078xx,NJ,19.98,0.0,Jun-2000,715.0,719.0,2.0,,,9.0,0.0,29978.0,80.8,13.0,f,0.0,0.0,23319.5441585271,22794.9,19750.0,3569.54,0.0,0.0,0.0,Jul-2013,725.69,,Feb-2017,654.0,650.0,0.0,,1.0,Individual,,,,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
44046074,,2400.0,2400.0,2400.0, 36 months,13.33,81.25,C,C3,labor Packer,8 years,RENT,30000.0,Not Verified,Mar-2015,Fully Paid,n,https://lendingclub.com/browse/loanDetail.action?loan_id=44046074,,debt_consolidation,Debt consolidation,550xx,MN,19.76,1.0,May-1986,660.0,664.0,0.0,13.0,,6.0,0.0,2421.0,37.8,16.0,w,0.0,0.0,2923.109581583,2923.11,2400.0,523.11,0.0,0.0,0.0,Mar-2018,81.14,,Mar-2018,739.0,735.0,1.0,13.0,1.0,Individual,,,,0.0,0.0,11972.0,,,,,,,,,,,,6400.0,,,,3.0,1995.0,8.0,99.2,0.0,0.0,121.0,346.0,20.0,8.0,0.0,20.0,13.0,20.0,13.0,3.0,1.0,3.0,1.0,4.0,4.0,5.0,11.0,3.0,6.0,0.0,0.0,1.0,1.0,73.3,100.0,0.0,0.0,16400.0,11972.0,1000.0,10000.0,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
